,Unnamed: 0,train,val,test
0,0,tumor_010,normal_109,test_079
1,1,tumor_052,normal_031,test_032
2,2,tumor_084,normal_079,test_031
3,3,normal_054,tumor_049,test_103
4,4,normal_063,tumor_001,test_056
5,5,normal_055,normal_015,test_105
6,6,normal_153,tumor_103,test_009
7,7,normal_131,normal_056,test_107
8,8,normal_147,normal_091,test_083
9,9,tumor_024,normal_075,test_020
10,10,normal_067,tumor_070,test_010
11,11,tumor_111,tumor_085,test_101
12,12,normal_069,tumor_032,test_102
13,13,tumor_067,normal_078,test_013
14,14,normal_160,normal_119,test_004
15,15,tumor_037,normal_088,test_096
16,16,tumor_081,tumor_098,test_018
17,17,tumor_038,normal_017,test_070
18,18,tumor_073,normal_003,test_062
19,19,normal_125,normal_107,test_072
20,20,normal_072,normal_095,test_087
21,21,tumor_110,tumor_027,test_100
22,22,tumor_091,tumor_002,test_006
23,23,normal_066,normal_132,test_119
24,24,tumor_051,normal_111,test_111
25,25,normal_077,normal_128,test_076
26,26,normal_087,tumor_031,test_055
27,27,normal_114,,test_097
28,28,tumor_025,,test_069
29,29,normal_101,,test_043
30,30,normal_115,,test_064
31,31,tumor_050,,test_089
32,32,tumor_065,,test_017
33,33,normal_143,,test_110
34,34,normal_032,,test_114
35,35,tumor_105,,test_078
36,36,normal_005,,test_022
37,37,normal_092,,test_023
38,38,normal_045,,test_104
39,39,normal_037,,test_048
40,40,tumor_003,,test_068
41,41,tumor_005,,test_080
42,42,tumor_080,,test_118
43,43,normal_094,,test_082
44,44,normal_083,,test_024
45,45,normal_013,,test_047
46,46,normal_011,,test_060
47,47,normal_041,,test_057
48,48,tumor_018,,test_063
49,49,normal_141,,test_127
50,50,tumor_036,,test_112
51,51,normal_022,,test_091
52,52,tumor_044,,test_027
53,53,normal_023,,test_075
54,54,tumor_071,,test_036
55,55,tumor_045,,test_093
56,56,normal_029,,test_003
57,57,normal_144,,test_037
58,58,normal_117,,test_039
59,59,normal_084,,test_108
60,60,tumor_076,,test_005
61,61,tumor_054,,test_074
62,62,tumor_030,,test_120
63,63,tumor_077,,test_122
64,64,normal_129,,test_001
65,65,tumor_075,,test_025
66,66,tumor_097,,test_040
67,67,normal_024,,test_098
68,68,tumor_102,,test_067
69,69,tumor_060,,test_030
70,70,tumor_064,,test_042
71,71,normal_133,,test_090
72,72,tumor_069,,test_011
73,73,normal_124,,test_053
74,74,normal_080,,test_129
75,75,tumor_023,,test_109
76,76,tumor_083,,test_092
77,77,tumor_004,,test_034
78,78,normal_127,,test_116
79,79,tumor_012,,test_008
80,80,tumor_101,,test_077
81,81,normal_096,,test_099
82,82,normal_156,,test_029
83,83,normal_014,,test_121
84,84,tumor_082,,test_016
85,85,normal_012,,test_088
86,86,tumor_046,,test_071
87,87,normal_157,,test_051
88,88,tumor_019,,test_106
89,89,normal_008,,test_058
90,90,normal_004,,test_019
91,91,tumor_040,,test_066
92,92,normal_120,,test_033
93,93,tumor_028,,test_084
94,94,normal_046,,test_012
95,95,tumor_062,,test_085
96,96,normal_139,,test_015
97,97,tumor_014,,test_117
98,98,normal_113,,test_046
99,99,tumor_056,,test_095
100,100,normal_007,,test_073
101,101,normal_071,,test_113
102,102,normal_051,,test_026
103,103,tumor_095,,test_021
104,104,tumor_061,,test_054
105,105,tumor_108,,test_052
106,106,normal_159,,test_124
107,107,normal_058,,test_094
108,108,tumor_021,,test_014
109,109,normal_140,,test_007
110,110,normal_074,,test_065
111,111,normal_021,,test_041
112,112,normal_039,,test_126
113,113,normal_035,,test_123
114,114,tumor_029,,test_125
115,115,normal_002,,test_002
116,116,tumor_058,,test_059
117,117,normal_081,,test_035
118,118,normal_151,,test_044
119,119,normal_038,,test_061
120,120,normal_108,,test_128
121,121,normal_036,,test_130
122,122,tumor_042,,test_028
123,123,tumor_011,,test_081
124,124,normal_149,,test_115
125,125,normal_136,,test_086
126,126,normal_057,,test_050
127,127,normal_073,,test_038
128,128,tumor_104,,test_045
129,129,tumor_059,,
130,130,tumor_026,,
131,131,tumor_034,,
132,132,tumor_089,,
133,133,tumor_039,,
134,134,normal_138,,
135,135,normal_135,,
136,136,normal_110,,
137,137,tumor_055,,
138,138,tumor_090,,
139,139,normal_010,,
140,140,tumor_013,,
141,141,normal_106,,
142,142,normal_155,,
143,143,normal_059,,
144,144,normal_150,,
145,145,normal_019,,
146,146,tumor_093,,
147,147,tumor_078,,
148,148,normal_148,,
149,149,normal_034,,
150,150,tumor_109,,
151,151,normal_098,,
152,152,normal_016,,
153,153,normal_062,,
154,154,normal_060,,
155,155,normal_042,,
156,156,normal_001,,
157,157,normal_152,,
158,158,tumor_074,,
159,159,normal_123,,
160,160,normal_116,,
161,161,tumor_022,,
162,162,normal_061,,
163,163,normal_030,,
164,164,normal_082,,
165,165,tumor_094,,
166,166,normal_121,,
167,167,normal_100,,
168,168,normal_068,,
169,169,normal_047,,
170,170,normal_064,,
171,171,normal_028,,
172,172,normal_089,,
173,173,normal_020,,
174,174,tumor_099,,
175,175,tumor_053,,
176,176,normal_009,,
177,177,normal_102,,
178,178,normal_044,,
179,179,normal_122,,
180,180,normal_130,,
181,181,tumor_063,,
182,182,normal_027,,
183,183,tumor_092,,
184,184,normal_126,,
185,185,tumor_100,,
186,186,normal_097,,
187,187,normal_085,,
188,188,tumor_057,,
189,189,tumor_068,,
190,190,tumor_072,,
191,191,normal_145,,
192,192,normal_118,,
193,193,normal_006,,
194,194,tumor_041,,
195,195,normal_142,,
196,196,normal_112,,
197,197,tumor_035,,
198,198,tumor_106,,
199,199,tumor_086,,
200,200,tumor_043,,
201,201,tumor_066,,
202,202,normal_026,,
203,203,normal_146,,
204,204,tumor_006,,
205,205,tumor_096,,
206,206,normal_065,,
207,207,tumor_087,,
208,208,tumor_015,,
209,209,normal_049,,
210,210,normal_053,,
211,211,tumor_017,,
212,212,normal_048,,
213,213,normal_052,,
214,214,tumor_048,,
215,215,normal_070,,
216,216,normal_043,,
217,217,normal_099,,
218,218,tumor_016,,
219,219,tumor_088,,
220,220,normal_018,,
221,221,tumor_079,,
222,222,tumor_020,,
223,223,tumor_007,,
224,224,normal_025,,
225,225,tumor_033,,
226,226,normal_103,,
227,227,normal_104,,
228,228,normal_134,,
229,229,normal_154,,
230,230,tumor_047,,
231,231,normal_076,,
232,232,tumor_009,,
